ATT_NAME_TH,ATT_NAME_EN,ATT_NEARBY_LOCATION,ATT_ADDRESS,REGION_NAME_TH,SUBDISTRICT_NAME_TH,DISTRICT_NAME_TH,PROVINCE_NAME_TH,ATTR_CATAGORY_TH,ATTR_SUB_TYPE_TH,ATT_START_END,ATT_DETAIL_TH,ATT_LOCATION,LATITUDE_LOCATION,LONGITUDE_LOCATION
ตลาดร่มพญาไม้,,ทางเข้าวัดอยู่ตรงข้าม ห้างสรรพสินค้าบิ๊กซีราชบุรี,,ภาคกลาง,โคกหม้อ,เมืองราชบุรี,ราชบุรี,แหล่งท่องเที่ยวทางประวัติศาสตร์ และวัฒนธรรม,ศาสนสถาน (วัด/โบสถ์/มัสยิด ฯลฯ),ตั้งแต่เวลา 07.00 น.   17.00 น. ทุกวันเสาร์ วันอาทิตย์ และวันหยุดนักขัตฤกษ์,ตลาดวิถีชุมชน  ร่มพญาไม้  เปิดให้บริการทุกวันเสาร์ วันอาทิตย์ และวันหยุดนักขัตฤกษ์ ประชาชนและนักท่องเที่ยว สามารถเดินทางมาเที่ยวชม ทำกิจกรรมตักบาตรพระสงฆ์ที่พายเรือบิณฑบาตทางน้ำได้ตั้งแต่เวลา 07.00 น.   08.00 น. ร่วมอุดหนุนสินค้าชุมชนในตลาดร่มพญาไม้ มีบริการล่องเรือไหว้พระท่องเที่ยวทางน้ำ และสักการะสิ่งศักดิ์สิทธิ์ภายในบริเวณวัดพญาไม้ คือ หลวงพ่อตามใจ องค์ท้าวเวชสุวรรณ ฯลฯ ,"13.5539349, 99.81969559999999",13.5539349,99.8196956
ชุมชนย่านเมืองเก่าริมน้ำเพชรบุรี,,,,ภาคกลาง,คลองกระแชง,เมืองเพชรบุรี,เพชรบุรี,แหล่งท่องเที่ยวทางประวัติศาสตร์ และวัฒนธรรม,วิถีชีวิตความเป็นอยู่ (ชุมชน),08.00 16.30 น.,ตั้งอยู่ริมแม่น้ำเพชรบุรี เกิดขึ้นจากการร่วมมือกันของทั้ง 3 ชุมชนในย่านเมืองเก่าเพชรบุรี ได้แก่ ชุมชนคลองกระแชง ชุมชนตลาดริมน้ำ และชุมชนวัดเกาะ ซึ่งมีวิถีชีวิตริมแม่น้ำที่มีเอกลักษณ์ และแตกต่างจากชุมชนอื่น ๆ และยังมีการถ่ายทอดศิลปวัฒนธรรมพิพิธภัณฑ์หนังใหญ่ ประวัติศาสตร์ จิตรกรรมฝาผนัง อาหาร และภูมิปัญญาของชุมชนอีกด้วย,"13.1073222, 99.9486069",13.1073222,99.9486069
วัดราษฎร์ศรัทธากะยาราม,Wat Ratsatthakayaram,อยู่หมู่ 2 ตำบลหลักสาม อำเภอบ้านแพ้ว ,หมู่ 2,ภาคกลาง,,บ้านแพ้ว,สมุทรสาคร,แหล่งท่องเที่ยวทางประวัติศาสตร์ และวัฒนธรรม,ศาสนสถาน (วัด/โบสถ์/มัสยิด ฯลฯ),06.00 22.00 น.,วัดราษฎร์ศรัทธากะยาราม ตั้งอยู่ในพื้นที่ตำบลหลักสาม อำเภอบ้านแพ้ว จังหวัดสมุทรสาคร วัดราษฎร์ศรัทธากะยารามหรือที่ชาวบ้านเรียกว่า “วัดมอญ” พราะเป็นวัดที่ชาวรามัญสร้างขึ้นมา อยู่ต้นคลองตาปลั่งเป็นคลองลัดเชื่อมระหว่างพื้นที่ อ.บ้านแพ้ว จ.สมุทรสาคร กับ อ.สามพราน จ.นครปฐม ซึ่งเป็นคลองใหญ่ใช้สัญจรไปมาเป็นเส้นทางน้ำหลัก สมัยที่การคมนาคมทางรถยังไม่มีคลองบ้านแพ้วสายนี้สำคัญมาก สิ่งที่น่าสนใจในวัดนี้ก็คือ นอกจากศาสนสถานภายในวัดแล้ว ตามสุมทุมพุ่มไม้ในวัด ยังเป็นที่อาศัยของ นกกาน้ำ นกกระยางขาว เป็นจำนวนมากอีกด้วย,"13.590556,100.107778",13.590556,100.107778
อุดมการ์เด้น,Udom garden cut leaves flora,ตั้งอยู่หมู่ 3 ตำบลดอนคลัง อำเภอดำเนินสะดวก,179 หมู่ 3 ,ภาคกลาง,,ดำเนินสะดวก,ราชบุรี,แหล่งท่องเที่ยวสำหรับกิจกรรมพิเศษ นันทนาการ และความสนใจพิเศษ,ไร่/สวนเกษตร (ฟาร์มสัตว์/ประมง),,"“อุดมการ์เด้น” เป็นอีกแหล่งหนึ่งที่ผลิตไม้ใบส่งออกรายใหญ่ที่สุดในจังหวัดราชบุรี โดยมี คุณอุดม ฐิตวัฒนะสกุล อยู่บ้านเลขที่ 179 ม.3 ต.ดอนคลัง อ.ดำเนินสะดวก จ.ราชบุรี เป็นเจ้าของสวนและยึดหลักการจัดการแบบธรรมชาติ โดยไม่มีการใช้สารเคมี
การใช้ภูมิปัญญาชาวบ้านมาประยุกต์ใช้สร้างคันกั้นน้ำ ปลูกผลไม้สำหรับนำมาค้าขายและปลูกไม้ยืนต้นสูงๆ เพื่อเป็นแนวป้องกันลม พวกนี้เป็นความรู้พื้นฐานทางด้านงานเกษตรที่ทุกคนรู้แต่ว่าละเลย ทำให้ที่สวนไม่มีปัญหาในขณะที่สวนอื่นๆ ส่วนเรื่องการปลูกพืชจะปลูกตามทิศทางความต้องการของตลาด","13.5874735, 100.003325",13.5874735,100.003325
อุทยานหินเขางู,Khao Ngu Stone Park,อยู่ห่างจากตัวจังหวัดราชบุรีประมาณ 8 กิโลเมตร ตำบลเกาะพลับพลา อำเภอเมือง จังหวัดราชบุรี,,ภาคกลาง,เกาะพลับพลา,เมืองราชบุรี,ราชบุรี,แหล่งท่องเที่ยวทางธรรมชาติ,ภูเขา/ธรณีสัณฐานเฉพาะ,เปิดทุกวัน 08.00–18.00 น.,อุทยานหินเขางู เดิมเป็นแหล่งสัมปทานระเบิดหินและย่อยหินแต่ถูกยกเลิกไปแล้ว ปัจจุบันจึงยังหลงเหลือร่องรอยที่เป็นลวดลายธรรมชาติของภูเขาหินปูนที่ถูกล้อมรอบด้วยบ่อน้ำ และมีสะพานแขวนเป็นจุดไฮไลท์ ที่นักท่องเที่ยวนิยมมาถ่ายรูป ชมวิวทิวทัศน์ที่สวยงามของธรรมชาติ,"13.5688265, 99.77545429999999",13.5688265,99.7754543
พิพิธภัณฑ์หนังใหญ่วัดพลับพลาชัย ,,,,ภาคกลาง,คลองกระแชง,เมืองเพชรบุรี,เพชรบุรี,แหล่งท่องเที่ยวทางประวัติศาสตร์ และวัฒนธรรม,พิพิธภัณฑ์,เปิดทุกวัน 08.00   18.00 น.,หนังใหญ่ เป็นศิลปะการแสดงชั้นสูงของไทยที่หาชมได้ยาก ทางวัดพลับพลาชัยจึงได้เปิดเป็นพิพิธภัณฑ์ให้คนที่สนใจในศิลปะได้มาศึกษาเรียนรู้ อีกทั้งยังมีกิจกรรม ตอกกระดาษลายหนังใหญ่  ที่นักท่องเที่ยวจะได้ลองทำลายหนังใหญ่แบบจำลองด้วยตัวเอง,"13.1074708, 99.9473436",13.1074708,99.9473436
ชุมชนถ้ำรงค์,,,,ภาคกลาง,ถ้ำรงค์,บ้านลาด,เพชรบุรี,แหล่งท่องเที่ยวทางประวัติศาสตร์ และวัฒนธรรม,วิถีชีวิตความเป็นอยู่ (ชุมชน),08.30 16.30 น. (ต้องติดต่อล่วงหน้า),ชุมชนถ้ำรงค์ ตำบลถ้ำรงค์ เป็นชุมชนเก่าแก่ ซึ่งตำนานเล่าว่า เจ้าเมืองหนึ่งเสด็จประพาส มาที่ตำบลนี้ มีหญิงสาวชาวบ้านนำน้ำใส่ขันและมีใบหญ้าคาลอยอยู่มาถวาย เจ้าเมืองได้พระราชทานธำมรงค์ (แหวน) เป็นการตอบแทน ต่อมาชาวบ้านจึงเรียกชุมชนนี้ว่า  บ้านธำรงค์  และกลายมาเป็น  ถ้ำรงค์  มาจนทุกวันนี้ ชาวตำบลถ้ำรงค์รวมตัวกันอนุรักษ์การดำเนินชีวิตทั้งบ้านเรือนที่อยู่อาศัย และการประกอบอาชีพ โดยเฉพาะในเรื่องเกี่ยวกับตาลโตนด ด้วยศักยภาพของชุมชนแห่งนี้จึงได้ รับเลือกเป็นชุมชนเพื่อการท่องเที่ยวเรียนรู้ เมื่อปี พ.ศ. 2544 ภายในพื้นที่มีจุดท่องเที่ยว ได้แก่ วัด ถ้ำรงค์ มีอุโบสถลวดลายปูนปั้นงดงามฝีมือช่างเมืองเพชร ถ้ำรงค์ ประดิษฐาน หลวงพ่อดำ เป็นพระพุทธรูปเก่าแก่คู่ชุมชน แหล่งเรียนรู้ภูมิปัญญาตาลโตนด หรือ สวนตาลลุงถนอม ปลูกตาลเรียงเป็นแนวเหมือนสวนผลไม้ โดยตั้งใจอนุรักษ์ต้นตาลซึ่งเป็นสัญลักษณ์ของเพชรบุรีที่นับวันจะน้อยลงไป บ้านยีโตนด ทำขนมตาล และเคี่ยวน้ำตาล สืบสานตาลเมืองเพชร ซึ่งเป็นบ้านทรงไทยหลังใหญ่ที่มีกลุ่มผู้สูงอายุสานใบตาลเป็นรูปทรงต่าง ๆ หมู่บ้านสานไผ่ เป็นการนำไม้ไผ่สานเป็นเครื่องใช้นานาชนิด วัดม่วงงามและพิพิธภัณฑ์ของเก่า จัดแสดงเครื่องมือเครื่องใช้วิถีชีวิตในอดีตของชุมชนนี้ ชุมชนบ้านรงค์ได้รับรางวัลด้านการสร้างความปลอดภัยการจราจรบนถนนของชุมชน และได้ผนวกจัดเป็นเส้นทางขี่จักรยานท่องเที่ยวที่จะได้เพลิดเพลินกับบรรยากาศชุมชน และเรียนรู้คุณค่าภูมิปัญญาท้องถิ่น นักท่องเที่ยวที่สนใจชมการปีนตาล เคี่ยวตาลโตนด การทำอาหารและขนมหวานที่ใช้ผลิตผลจากต้นตาล ชมสวนชมพู่เพชรสุพรรณ และทับทิมจันทร์ โดยมีรถบริการพร้อมมีวิทยากรบรรยาย,"13.021136703280682, 99.91891622543335",13.0211367,99.91891623
ถ้ำโบ้ คีรีวงศ์,,บ้านคีรีวงศ์ ,,ภาคกลาง,หนองชุมพลเหนือ,เขาย้อย,เพชรบุรี,แหล่งท่องเที่ยวทางธรรมชาติ,ถ้ำ,ช่วงเวลาที่เหมาะสม 05.00 – 17.00 น., ถ้ำโบ้ ตั้งอยู่บนเขาอีบิด อ.เขาย้อย จ.เพชรบุรี สูงจากพื้นดินประมาณ 300 เมตร ทางเข้าถ้ำเป็นโพรงกว้าง ประมาณ 20&times;50 เมตร ภายในเป็นถ้ำตื้น โถงถ้ำสูงโปร่ง บริเวณโดยรอบมีหินงอก หินย้อยที่เกิดขึ้นตามธรรมชาติสวยงาม อากาศถ่ายเท ลมเย็นสบาย มีเสียงลมพัดผ่านเข้ามาดังตลอดเวลา จากในถ้ำเมื่อมองลอดโพรงหน้าถ้ำออกไป จะเห็นทิวทัศน์ของ อ.เขาย้อย จ.เพชรบุรี และ อ.ปากท่อ จ.ราชบุรี ได้อย่างกว้างไกลและสวยงาม ส่วนด้านหลังถ้ำมีช่องทะลุขนาดประมาณ 3&times;2 เมตร ด้านหน้ามีลานกว้างยืนชมวิวมองเห็นทิวต้นตาลของ อ.เขาย้อย และ จ.เพชรบุรี ยังเป็นจุดที่สามารถชมได้ทั้งพระอาทิตย์ขึ้น และพระอาทิตย์ตกได้อีกด้วย จุดเด่นของถ้ำโบ้นอกจากจะเป็นโถงถ้ำที่ใหญ่อลังการแล้ว ด้านบนเพดานถ้ำจะพบปล่องที่ทะลุออกด้านนอกหลายจุดทำไห้แสงสว่างสาดส่องเข้ามาตามรูหลายจุดจนเกิดเป็นลำแสงทอดยาวมาตกกระทบกับพื้นถ้ำ เหมาะสำหรับผู้ที่ชื่นชอบในการค้นหาจุดถ่ายภาพที่แปลกใหม่ และผู้ที่รักในการท่องเที่ยวท่ามกลางธรรมชาติ Outdoor Activity  ,"13.3356756, 99.7546521",13.3356756,99.7546521
วัดป่าพุทธาราม (ถ้ำสติ),,,หมู่ 9,ภาคกลาง,นางแก้ว,โพธาราม,ราชบุรี,แหล่งท่องเที่ยวทางประวัติศาสตร์ และวัฒนธรรม,ศาสนสถาน (วัด/โบสถ์/มัสยิด ฯลฯ),ทุกวันตั้งแต่เวลา 08.30   17.30 น.,สัมผัสความสวยงามของพระนั่งเมืองแก้ว พระพุทธรูปหินแกะสลักขนาดใหญ่เป็นเนื้อเดียวกับตัวถ้ำ ภายในถ้ำเงียบสงบ เหมาะแก่การเจริญจิตภาวนาและปฏิบัติธรรม และอีกหนึ่งความพิเศษของพระนั่งเมืองแก้ว คือ วิธีการไหว้ขอพร ซึ่งผู้มาสักการะบูชาต้องก้มกราบระหว่างพระบาท จากนั้นลอดใต้พระเพลา (ขา) เวียนขวา 3 รอบ เพื่อให้ได้สมหวังในสิ่งที่ปรารถนา,"13.7016825, 99.75860229999999",13.7016825,99.7586023
ถนนคนเดิน พานิชเจริญ,,,,ภาคกลาง,ท่าราบ,เมืองเพชรบุรี,เพชรบุรี,แหล่งท่องเที่ยวสำหรับกิจกรรมพิเศษ นันทนาการ และความสนใจพิเศษ,ห้างสรรพสินค้า/แหล่งช้อปปิ้ง/ตลาดสด/ตลาดนัด/ถนนคนเดิน,ทุกวันเสาร์ 16.00   21.00 น.,เดินเที่ยวชม ชิม ช้อป และสนุกกับการแสดง หรือ workshop งานศิลปะเมืองเพชร ณ ถนนคนเดินพานิชเจริญ มีทุกบ่ายวันเสาร,"13.0981151, 99.9504493",13.0981151,99.9504493
